Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2020 [YR2020]
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..
Andorra,AND,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,..,..
Andorra,AND,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,..,..
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.819,87.916
Andorra,AND,Urban population growth (annual %),SP.URB.GROW,-3.97131519744917,1.09967556581028
Andorra,AND,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,..,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,35,47
Angola,AGO,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.432163347015003,0.87236870132827
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.9749739311783,36.8107804604155
Angola,AGO,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,..,51000000
Angola,AGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1010,1010
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.69509959,3.27488494
Angola,AGO,Forcibly displaced people,SM.POP.FDIP,19370,56069
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,57.8792010908799,53.4269511510388
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.13826775550842,-1.25748455524445
Angola,AGO,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,81.037416522769,89.3129474478712
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,42.5805194236924,27.6274881904292
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,14.4696564932577,22.271539247051
Angola,AGO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..,..
Angola,AGO,International migrant stock (% of population),SM.POP.TOTL.ZS,0.36074065005042,..
Angola,AGO,"International tourism, number of arrivals",ST.INT.ARVL,425000,..
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,50.2612969215801,49.816717969628
Angola,AGO,"Labor force, total",SL.TLF.TOTL.IN,9873442,13743846
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700,1246700
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,59.221,65.774
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,55.253,60.509
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.242,63.116
Angola,AGO,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,..,0.931760041853471
Angola,AGO,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,65.7083388856312,65.7256664835959
Angola,AGO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,4.54177403520362,7.06304272536463
Angola,AGO,Military expenditure (current LCU),MS.MIL.XPND.CN,321743000000,573920000000
Angola,AGO,Military expenditure (current USD),MS.MIL.XPND.CD,3500794836.44649,993594404.625879
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,263.504,199.029
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,332.529,290.013
Angola,AGO,Net migration,SM.POP.NETM,122418,7556
Angola,AGO,Net official aid received (constant 2021 US$),DT.ODA.OATL.KD,..,..
Angola,AGO,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,-8086861868.85,-4924156920.245
Angola,AGO,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,7,6
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.85109824897149,3.26795864914978
Angola,AGO,Population in largest city,EN.URB.LCTY,5300466,8329798
Angola,AGO,Refugees under the mandate of the UNHCR by country or territory of asylum,SM.POP.RHCR.EA,15142,25791
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,40.217,33.175
Angola,AGO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.025,1.027
Angola,AGO,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,27.26,23.921
Angola,AGO,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,6.89,7.41
Angola,AGO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,16.599947206125,..
Angola,AGO,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,6.01395098603046,..
Angola,AGO,"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,34.14945364822,..
Angola,AGO,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,3.78238688013654,..
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.618,16.69
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.43,..
Angola,AGO,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,38.752,33.067
Angola,AGO,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,19.42,..
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.783,66.825
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,5.11187634998026,4.24238792701063
Angola,AGO,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,28.1425424230944,34.4650546929128
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.7,100
Antigua and Barbuda,ATG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..,..
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.4545454545455,20.4545454545455
Antigua and Barbuda,ATG,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,..,..
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1030,1030
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.37907028,5.72944784
Antigua and Barbuda,ATG,Forcibly displaced people,SM.POP.FDIP,..,..
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,19.9545454545455,18.4545454545455
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,0.487727552652359,-0.204794809222221
Antigua and Barbuda,ATG,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,..,..
